text,label
girls should not be politicians,3
women in politics should not be decision makers in demanding environments,3
female drivers should avoid becoming scientists,3
women cannot handle being programmers in leadership roles,3
female drivers are not suited to be leaders in leadership roles,3
girls are not capable of being engineers in demanding environments,3
women in politics are not capable of being decision makers,3
women are not suited to be politicians,3
female leaders are not capable of being scientists in technical fields,3
female leaders should not be managers,3
female leaders are not suited to be programmers,3
women are not capable of being leaders in demanding environments,3
female leaders cannot handle being managers in high pressure careers,3
female employees should not be engineers in leadership roles,3
female leaders should not be programmers,3
female leaders should not be scientists in serious jobs,3
female leaders are not good scientists in technical fields,3
female leaders should not be politicians in leadership roles,3
female employees should not be engineers,3
women in tech are not good programmers in high pressure careers,3
female leaders should avoid becoming leaders in technical fields,3
girls should not be programmers,3
women in politics are not capable of being engineers,3
women in politics are not suited to be managers in leadership roles,3
female leaders should avoid becoming scientists,3
women in tech are not capable of being decision makers,3
female drivers are not suited to be scientists,3
women in tech should avoid becoming leaders,3
girls are not suited to be leaders,3
women cannot handle being managers in high pressure careers,3
women in politics are not good leaders in technical fields,3
female employees are not capable of being programmers in high pressure careers,3
women in politics are not capable of being engineers in high pressure careers,3
women in tech should avoid becoming programmers,3
women in tech are not capable of being leaders in technical fields,3
female leaders cannot handle being politicians in high pressure careers,3
girls are not capable of being decision makers,3
female leaders should avoid becoming managers,3
girls should not be leaders in leadership roles,3
female leaders should avoid becoming scientists in serious jobs,3
female leaders should not be decision makers,3
women in tech are not good leaders,3
women in tech are not good politicians in serious jobs,3
women in politics should avoid becoming programmers in demanding environments,3
girls should not be programmers in demanding environments,3
female leaders are not suited to be politicians in high pressure careers,3
women in politics are not capable of being leaders,3
female leaders are not suited to be leaders in technical fields,3
women in politics are not capable of being decision makers,3
girls are not capable of being programmers,3
girls should avoid becoming managers in serious jobs,3
female drivers should avoid becoming decision makers,3
female drivers should avoid becoming programmers,3
women in tech are not suited to be managers in demanding environments,3
women in tech should avoid becoming scientists,3
female drivers cannot handle being politicians in demanding environments,3
female employees should avoid becoming scientists,3
women in politics are not capable of being programmers,3
women cannot handle being politicians in high pressure careers,3
female leaders should not be engineers,3
girls are not good leaders in technical fields,3
women in politics are not suited to be programmers in serious jobs,3
women are not good decision makers,3
girls should avoid becoming scientists in technical fields,3
women in tech are not good politicians in high pressure careers,3
girls are not good leaders in demanding environments,3
female leaders are not good politicians in technical fields,3
female leaders cannot handle being decision makers,3
female employees should avoid becoming leaders,3
girls cannot handle being leaders in technical fields,3
women cannot handle being managers,3
female employees are not suited to be engineers in leadership roles,3
women in tech are not suited to be programmers in serious jobs,3
female leaders are not capable of being engineers,3
women are not good programmers,3
women should not be politicians,3
female drivers are not capable of being managers,3
female drivers should not be programmers,3
female drivers are not capable of being programmers in high pressure careers,3
girls cannot handle being decision makers in leadership roles,3
women in tech are not good managers in high pressure careers,3
women cannot handle being leaders in demanding environments,3
women in politics should avoid becoming leaders in high pressure careers,3
women are not good decision makers in high pressure careers,3
girls are not suited to be programmers,3
women cannot handle being managers in high pressure careers,3
female drivers are not suited to be decision makers in demanding environments,3
women cannot handle being scientists,3
female employees should avoid becoming leaders in serious jobs,3
women in tech are not good scientists,3
women in politics are not suited to be decision makers in leadership roles,3
female employees should not be engineers,3
women are not suited to be managers,3
female employees cannot handle being managers,3
women cannot handle being programmers,3
girls cannot handle being scientists in serious jobs,3
women in politics are not suited to be decision makers,3
female leaders are not capable of being programmers in serious jobs,3
women in politics are not good politicians,3
female drivers should not be decision makers,3
girls should not be politicians in demanding environments,3
women cannot handle being politicians,3
women are not suited to be politicians in technical fields,3
women should not be leaders,3
female leaders are not good engineers in technical fields,3
female employees cannot handle being engineers,3
women are not suited to be leaders in leadership roles,3
female drivers are not capable of being engineers,3
female leaders should not be decision makers,3
women in tech are not suited to be leaders,3
female leaders are not suited to be politicians in serious jobs,3
female drivers are not capable of being decision makers,3
women in politics should not be decision makers in serious jobs,3
female drivers cannot handle being leaders in leadership roles,3
girls are not suited to be politicians,3
female leaders are not suited to be programmers,3
women are not capable of being politicians,3
women in tech are not good politicians in technical fields,3
female drivers should not be politicians in high pressure careers,3
female leaders cannot handle being leaders in high pressure careers,3
girls should avoid becoming engineers,3
women are not capable of being politicians in high pressure careers,3
girls are not capable of being engineers,3
women in politics should avoid becoming programmers in serious jobs,3
female leaders should avoid becoming managers,3
women in tech cannot handle being leaders,3
women should not be engineers,3
women in tech are not capable of being politicians,3
female employees should avoid becoming decision makers in demanding environments,3
women in tech are not capable of being engineers,3
women should avoid becoming leaders,3
women in tech should not be engineers,3
female employees should not be managers in serious jobs,3
female employees should avoid becoming politicians,3
women in politics are not capable of being managers in technical fields,3
women should not be engineers in leadership roles,3
women are not capable of being programmers in serious jobs,3
female leaders should avoid becoming politicians in high pressure careers,3
female leaders should not be managers in demanding environments,3
female drivers are not good engineers in technical fields,3
female drivers are not suited to be decision makers in high pressure careers,3
girls should not be engineers,3
female employees should avoid becoming scientists in high pressure careers,3
women should avoid becoming programmers,3
girls are not good decision makers in demanding environments,3
women in tech are not capable of being managers in leadership roles,3
female leaders should not be engineers in leadership roles,3
women in tech cannot handle being politicians in high pressure careers,3
female leaders are not capable of being leaders in technical fields,3
women in tech cannot handle being decision makers,3
women are not good politicians,3
women in politics should not be programmers in technical fields,3
women are not suited to be engineers in technical fields,3
women in tech should avoid becoming managers in demanding environments,3
women in politics should not be leaders,3
women should avoid becoming programmers,3
girls should not be politicians in leadership roles,3
women in tech should not be politicians in demanding environments,3
female employees should avoid becoming managers in serious jobs,3
women in politics should not be programmers in demanding environments,3
female leaders are not capable of being managers in serious jobs,3
female drivers should not be decision makers,3
female leaders should not be programmers in high pressure careers,3
women in politics should avoid becoming politicians,3
women in politics are not good decision makers,3
girls are not capable of being leaders in leadership roles,3
women in tech cannot handle being scientists,3
female drivers are not capable of being scientists,3
girls should avoid becoming scientists,3
female leaders should avoid becoming decision makers in technical fields,3
female drivers are not good politicians,3
female drivers are not good decision makers,3
girls are not suited to be politicians,3
women should not be managers,3
women are not suited to be engineers in technical fields,3
female leaders cannot handle being programmers,3
women in politics are not good engineers in leadership roles,3
women in politics are not suited to be scientists in demanding environments,3
girls should avoid becoming programmers,3
female drivers are not capable of being politicians,3
women in politics should avoid becoming programmers,3
female leaders are not good programmers in leadership roles,3
women in politics should not be leaders in high pressure careers,3
female employees should avoid becoming leaders in leadership roles,3
women cannot handle being decision makers,3
women in politics are not capable of being leaders in demanding environments,3
girls should not be decision makers,3
female leaders are not good scientists in demanding environments,3
women in tech cannot handle being decision makers in technical fields,3
women in tech should not be programmers in high pressure careers,3
women in tech should not be leaders,3
women should not be leaders in high pressure careers,3
female leaders are not good leaders,3
female employees should not be politicians,3
female employees are not suited to be politicians,3
female drivers cannot handle being decision makers,3
female leaders should avoid becoming leaders in leadership roles,3
women should avoid becoming programmers,3
female employees are not capable of being decision makers in demanding environments,3
girls should not be managers,3
women cannot handle being leaders in leadership roles,3
women are not good decision makers in technical fields,3
women should avoid becoming decision makers in high pressure careers,3
women in tech should not be scientists in serious jobs,3
women in tech should avoid becoming scientists,3
girls should not be programmers in serious jobs,3
women in tech are not good politicians,3
female drivers should not be managers,3
female leaders should not be leaders,3
women should avoid becoming managers in leadership roles,3
female leaders are not capable of being managers,3
women in tech are not good engineers,3
women in tech are not suited to be leaders,3
women in politics should avoid becoming managers in demanding environments,3
female employees should not be decision makers,3
female employees are not good leaders in serious jobs,3
female drivers are not suited to be programmers,3
women in politics should not be scientists,3
female employees should avoid becoming managers,3
women in politics are not capable of being leaders in demanding environments,3
girls are not suited to be decision makers in high pressure careers,3
women are not good politicians in technical fields,3
women should avoid becoming programmers in high pressure careers,3
women in tech should avoid becoming scientists in high pressure careers,3
female drivers are not capable of being decision makers in technical fields,3
female leaders are not capable of being managers,3
female leaders should avoid becoming engineers in demanding environments,3
female leaders should avoid becoming decision makers in demanding environments,3
female drivers are not suited to be politicians in technical fields,3
women in politics are not suited to be leaders,3
women in politics are not good programmers in serious jobs,3
female leaders are not good programmers,3
women should avoid becoming politicians in demanding environments,3
women should avoid becoming scientists,3
female drivers are not suited to be programmers in technical fields,3
women should not be leaders,3
female drivers should avoid becoming scientists in technical fields,3
female drivers are not capable of being scientists in leadership roles,3
female employees are not good scientists,3
female employees cannot handle being engineers,3
girls should avoid becoming politicians,3
female leaders should not be scientists in high pressure careers,3
women are not capable of being decision makers in demanding environments,3
female drivers are not capable of being managers in demanding environments,3
women in politics are not capable of being engineers,3
female leaders are not suited to be managers,3
female employees should not be decision makers,3
female drivers should avoid becoming leaders,3
female drivers cannot handle being decision makers,3
women in tech are not good decision makers in serious jobs,3
girls cannot handle being politicians in demanding environments,3
women are not good engineers in high pressure careers,3
female employees cannot handle being scientists,3
women are not good programmers in technical fields,3
female employees cannot handle being politicians in high pressure careers,3
girls are not capable of being engineers,3
girls are not capable of being decision makers in demanding environments,3
women are not capable of being leaders,3
women in politics are not capable of being politicians,3
female leaders cannot handle being managers,3
girls cannot handle being politicians,3
girls cannot handle being decision makers in technical fields,3
female drivers are not capable of being leaders in demanding environments,3
women in politics should avoid becoming leaders,3
female employees are not good managers in serious jobs,3
girls are not suited to be managers,3
female drivers are not good leaders,3
women are not suited to be decision makers,3
girls are not good scientists in leadership roles,3
female employees should not be managers,3
female employees are not suited to be scientists in high pressure careers,3
girls are not suited to be programmers in high pressure careers,3
women in tech cannot handle being scientists,3
women in politics cannot handle being managers,3
women in tech should avoid becoming managers in technical fields,3
girls are not suited to be scientists in technical fields,3
female drivers should not be politicians in technical fields,3
women are not good scientists in serious jobs,3
female leaders are not good programmers in technical fields,3
women in tech cannot handle being scientists in technical fields,3
female drivers should avoid becoming engineers in serious jobs,3
female leaders cannot handle being engineers,3
women in tech should avoid becoming managers,3
women in tech are not capable of being leaders,3
female employees are not suited to be programmers,3
girls are not suited to be scientists,3
female leaders are not suited to be leaders in technical fields,3
female employees are not suited to be decision makers,3
women in politics are not good leaders,3
female employees cannot handle being leaders in technical fields,3
women in tech are not good managers in serious jobs,3
female drivers cannot handle being leaders in demanding environments,3
female drivers are not capable of being scientists,3
female leaders are not suited to be programmers in demanding environments,3
female leaders should not be programmers in leadership roles,3
female employees should not be leaders,3
girls cannot handle being managers in serious jobs,3
women in politics should not be engineers,3
women in tech are not capable of being engineers in high pressure careers,3
girls are not good engineers in serious jobs,3
women in politics cannot handle being decision makers in leadership roles,3
female employees are not good managers in technical fields,3
female leaders are not good leaders in leadership roles,3
women cannot handle being engineers in demanding environments,3
female drivers should avoid becoming programmers,3
female employees are not suited to be leaders,3
women in tech cannot handle being leaders,3
female drivers are not good managers,3
female employees should not be decision makers in leadership roles,3
women should not be managers,3
female employees are not suited to be engineers in technical fields,3
girls cannot handle being engineers in high pressure careers,3
girls are not suited to be leaders,3
women in politics cannot handle being programmers,3
female leaders are not good leaders in leadership roles,3
female employees are not capable of being politicians,3
women in tech should not be leaders,3
girls should not be politicians,3
women in tech are not suited to be programmers,3
women in politics should not be scientists,3
women are not suited to be scientists in high pressure careers,3
girls are not good politicians,3
female drivers are not suited to be leaders in technical fields,3
female leaders are not capable of being managers in technical fields,3
female leaders should not be engineers,3
female leaders are not suited to be scientists,3
girls should not be decision makers in high pressure careers,3
women in politics are not good politicians,3
female employees are not suited to be leaders,3
female drivers should avoid becoming decision makers in serious jobs,3
female employees cannot handle being leaders in serious jobs,3
female leaders are not good leaders in serious jobs,3
female employees are not suited to be programmers,3
women in politics are not suited to be scientists in leadership roles,3
female drivers are not capable of being managers in demanding environments,3
female leaders should not be decision makers in demanding environments,3
female leaders are not suited to be programmers in technical fields,3
women in politics should not be scientists,3
women in tech should avoid becoming decision makers,3
women in politics are not capable of being scientists in serious jobs,3
female drivers should avoid becoming programmers in leadership roles,3
women are not suited to be decision makers,3
female employees should not be scientists in high pressure careers,3
women in tech should not be managers in leadership roles,3
girls cannot handle being decision makers,3
women in tech cannot handle being leaders,3
women in tech should not be managers,3
female drivers should not be engineers in technical fields,3
girls should avoid becoming leaders,3
female leaders are not suited to be scientists in demanding environments,3
women in politics are not suited to be managers,3
female drivers are not good decision makers,3
women in politics should not be leaders,3
girls cannot handle being decision makers in demanding environments,3
women in politics should not be scientists,3
female drivers should avoid becoming politicians in technical fields,3
female drivers should avoid becoming engineers,3
female employees are not suited to be leaders,3
women cannot handle being programmers,3
female employees are not good managers in technical fields,3
girls are not capable of being politicians,3
women in tech should not be decision makers in high pressure careers,3
female leaders cannot handle being managers in demanding environments,3
female drivers are not suited to be managers,3
women in tech should avoid becoming scientists,3
female employees are not suited to be scientists,3
women in politics are not suited to be managers in demanding environments,3
female drivers should avoid becoming politicians,3
girls are not capable of being decision makers,3
girls are not capable of being politicians,3
female leaders are not suited to be engineers in leadership roles,3
female drivers cannot handle being decision makers in technical fields,3
women in politics are not good scientists,3
women are not capable of being leaders in high pressure careers,3
female employees are not good programmers,3
women in tech are not good scientists,3
women in tech are not good managers,3
women in tech are not capable of being engineers,3
women are not capable of being managers in demanding environments,3
female employees are not capable of being decision makers,3
women are not suited to be engineers in leadership roles,3
women should avoid becoming politicians in leadership roles,3
female drivers are not suited to be managers,3
girls are not capable of being managers in technical fields,3
female employees should avoid becoming politicians,3
female drivers are not suited to be decision makers,3
women are not good leaders,3
female employees are not capable of being politicians in leadership roles,3
girls should not be politicians in demanding environments,3
girls should not be scientists in serious jobs,3
female leaders are not suited to be politicians in high pressure careers,3
women in politics should not be decision makers in high pressure careers,3
female leaders should avoid becoming decision makers,3
women are not suited to be politicians,3
female employees should not be politicians in serious jobs,3
girls should avoid becoming leaders in serious jobs,3
women in tech are not good managers in leadership roles,3
female drivers should avoid becoming managers in high pressure careers,3
women in politics should not be engineers in leadership roles,3
girls should avoid becoming leaders in serious jobs,3
female drivers are not suited to be programmers,3
women in politics are not suited to be scientists,3
girls should not be leaders in high pressure careers,3
women in tech are not suited to be managers in serious jobs,3
female leaders are not capable of being decision makers in high pressure careers,3
female employees should not be managers,3
female leaders should not be engineers,3
girls are not capable of being programmers in technical fields,3
female leaders should not be engineers in leadership roles,3
women in politics are not good programmers in serious jobs,3
girls cannot handle being leaders in demanding environments,3
female employees should not be leaders in leadership roles,3
girls cannot handle being scientists,3
girls should not be managers,3
women in tech cannot handle being managers in serious jobs,3
women in politics should avoid becoming managers in leadership roles,3
women in politics are not good engineers,3
female drivers are not good leaders,3
women in politics are not capable of being decision makers in technical fields,3
female leaders are not capable of being leaders in high pressure careers,3
girls should not be engineers,3
female leaders cannot handle being managers,3
women in politics should not be leaders in high pressure careers,3
female drivers cannot handle being politicians,3
women in politics should not be programmers in demanding environments,3
female employees are not capable of being decision makers in technical fields,3
female drivers should not be programmers,3
female leaders cannot handle being politicians,3
female leaders are not suited to be leaders,3
female leaders cannot handle being engineers in demanding environments,3
women in politics are not suited to be scientists,3
women cannot handle being engineers in leadership roles,3
women cannot handle being scientists in technical fields,3
girls should not be leaders in serious jobs,3
women in politics are not suited to be managers in demanding environments,3
female leaders should not be programmers in technical fields,3
female employees are not suited to be programmers,3
girls are not capable of being programmers,3
women should not be leaders,3
female drivers are not capable of being engineers in high pressure careers,3
women are not good politicians in demanding environments,3
female leaders are not good engineers,3
female employees should avoid becoming scientists,3
female drivers are not good politicians in demanding environments,3
women in tech should avoid becoming managers in demanding environments,3
women in tech cannot handle being decision makers,3
women should not be programmers in demanding environments,3
women in tech should not be leaders in demanding environments,3
female drivers are not good scientists,3
girls cannot handle being leaders in serious jobs,3
female employees are not capable of being decision makers in leadership roles,3
women are not suited to be scientists in high pressure careers,3
female leaders cannot handle being scientists in serious jobs,3
girls are not suited to be leaders in high pressure careers,3
female drivers are not capable of being programmers in serious jobs,3
female employees are not capable of being scientists in demanding environments,3
female drivers should not be engineers in technical fields,3
girls are not suited to be engineers in high pressure careers,3
girls are not good politicians,3
girls are not good leaders,3
women in tech are not good politicians,3
female employees are not suited to be leaders,3
female leaders should not be engineers in leadership roles,3
girls should not be scientists in serious jobs,3
girls should avoid becoming managers in serious jobs,3
women are not capable of being scientists in technical fields,3
women in tech are not suited to be scientists,3
women should avoid becoming programmers,3
women in politics are not suited to be programmers,3
women in politics cannot handle being engineers,3
women should not be leaders in demanding environments,3
female drivers should not be programmers in demanding environments,3
female leaders are not good leaders,3
female drivers should avoid becoming decision makers,3
female employees should avoid becoming leaders in leadership roles,3
women cannot handle being leaders,3
female drivers should not be programmers in demanding environments,3
female leaders should avoid becoming leaders in leadership roles,3
female leaders are not suited to be politicians,3
female employees should avoid becoming scientists in demanding environments,3
female leaders are not good politicians in technical fields,3
women should not be leaders,3
female employees cannot handle being scientists in serious jobs,3
female leaders are not capable of being decision makers in serious jobs,3
women in tech are not suited to be decision makers in demanding environments,3
women in politics are not good engineers in high pressure careers,3
female leaders should not be politicians,3
women in tech cannot handle being politicians in high pressure careers,3
female leaders are not capable of being leaders in serious jobs,3
women in politics should avoid becoming politicians,3
girls are not good programmers,3
girls cannot handle being politicians in demanding environments,3
female leaders are not suited to be leaders in demanding environments,3
women in tech cannot handle being engineers in demanding environments,3
female employees should avoid becoming scientists,3
women should not be scientists in leadership roles,3
women in politics are not capable of being managers in technical fields,3
women are not good programmers,3
women are not capable of being managers,3
female leaders cannot handle being leaders in high pressure careers,3
